Species,Species >1970,Species <1970,List,Region,Region code,Subregion,subregion code,Geo subreg,Lat,Long,Status comment,STATUS,Group,VER-INV-PP,NS stand,Year,Period,REL,EC,TC,TS-0ther,TS-ball,TS-hull,COR,UNA,UNK,,,,,,,,,
"Ablennes hians (Valenciennes, 1846)","Ablennes hians (Valenciennes, 1846)",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2018,2018,2018-2020,,,,,,,,1,,,,,,,,,,
"Abudefduf saxatilis (Linnaeus, 1758) ","Abudefduf saxatilis (Linnaeus, 1758) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1989,1988-1993,,,,,,,,,1,,,,,,,,,
"Abudefduf sexfasciatus (Lacepède, 1801) ","Abudefduf sexfasciatus (Lacepède, 1801) ",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,2017,2017,2012-2017,1,,,,,,,,,,,,,,,,,
Abudefduf sp.,Abudefduf sp.,,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,genus level,non-indigenous,Vertebrate,VER,2018,2018,2018-2020,,,,,,,,1,,,,,,,,,,
"Abudefduf taurus (Müller & Troschel, 1848) ","Abudefduf taurus (Müller & Troschel, 1848) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,questionable,Vertebrate,VER,,2015,2012-2017,,,,,,,,,1,,,,,,,,,
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)","Abudefduf vaigiensis (Quoy & Gaimard, 1825)",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2013,2013,2012-2017,,,,1,,,,,,,,,,,,,,
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)","Abudefduf vaigiensis (Quoy & Gaimard, 1825)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,2005,2005,2000-2005,,,,1,,,,,,,,,,,,,,
"Abudefduf hoefleri (Steindachner, 1881)","Abudefduf hoefleri (Steindachner, 1881)",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2014,2014,2012-2017,,,,,1,,,,,,,,,,,,,
"Abudefduf hoefleri (Steindachner, 1881)","Abudefduf hoefleri (Steindachner, 1881)",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,2014,2012-2017,,,,1,,,,,,,,,,,,,,
"Acanthaster planci (Linnaeus, 1758)","Acanthaster planci (Linnaeus, 1758)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2006,2006,2006-2011,,,,,1,,,,,,,,,,,,,
