"Year","Subregion","subregion.code","Species","date","present"
1989,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,1
1990,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1990-01-01,2
1991,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1991-01-01,3
1992,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1992-01-01,4
1993,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,5
1994,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,6
1995,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1995-01-01,7
1996,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1996-01-01,8
1997,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1997-01-01,9
1998,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1998-01-01,10
1999,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1999-01-01,11
2000,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2000-01-01,12
2001,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2001-01-01,13
2002,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2002-01-01,14
2003,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,15
2004,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2004-01-01,16
2005,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2005-01-01,17
2006,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2006-01-01,18
2007,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2007-01-01,19
2008,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,20
2009,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2009-01-01,21
2010,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2010-01-01,22
