"Year","Subregion","subregion.code","Species","date","present"
2008,"Adriatic Sea","MAD","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2008-01-01,1
2003,"Baltic Sea","BAL","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2003-01-01,1
1989,"Bay of Biscay & Iberian Coast","ABI","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1989-01-01,1
1993,"Celtic Seas","ACS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1993-01-01,1
1994,"Greater North Sea","ANS","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",1994-01-01,1
2016,"Western Mediterranean Sea","MWE","Agarophyton vermiculophyllum (Ohmi) Gurgel, J.N.Norris & Fredericq, 2018",2016-01-01,1
1975,"Adriatic Sea","MAD","Anadara transversa (Say, 1822)",1975-01-01,1
2002,"Bay of Biscay & Iberian Coast","ABI","Anadara transversa (Say, 1822)",2002-01-01,1
2016,"Celtic Seas","ACS","Anadara transversa (Say, 1822)",2016-01-01,1
2002,"Central Mediterranean Sea","MIC","Anadara transversa (Say, 1822)",2002-01-01,1
1993,"Eastern Mediterranean Sea","MAL","Anadara transversa (Say, 1822)",1993-01-01,1
2005,"Western Mediterranean Sea","MWE","Anadara transversa (Say, 1822)",2005-01-01,1
1987,"Adriatic Sea","MAD","Antithamnion hubbsii E.Y.Dawson, 1962",1987-01-01,1
2007,"Bay of Biscay & Iberian Coast","ABI","Antithamnion hubbsii E.Y.Dawson, 1962",2007-01-01,1
2013,"Central Mediterranean Sea","MIC","Antithamnion hubbsii E.Y.Dawson, 1962",2013-01-01,1
2007,"Greater North Sea","ANS","Antithamnion hubbsii E.Y.Dawson, 1962",2007-01-01,1
1989,"Macaronesia","AMA","Antithamnion hubbsii E.Y.Dawson, 1962",1989-01-01,1
1988,"Western Mediterranean Sea","MWE","Antithamnion hubbsii E.Y.Dawson, 1962",1988-01-01,1
2000,"Adriatic Sea","MAD","Branchiomma luctuosum (Grube, 1870)",2000-01-01,1
2015,"Bay of Biscay & Iberian Coast","ABI","Branchiomma luctuosum (Grube, 1870)",2015-01-01,1
1978,"Central Mediterranean Sea","MIC","Branchiomma luctuosum (Grube, 1870)",1978-01-01,1
1989,"Eastern Mediterranean Sea","MAL","Branchiomma luctuosum (Grube, 1870)",1989-01-01,1
2017,"Macaronesia","AMA","Branchiomma luctuosum (Grube, 1870)",2017-01-01,1
1978,"Western Mediterranean Sea","MWE","Branchiomma luctuosum (Grube, 1870)",1978-01-01,1
1994,"Adriatic Sea","MAD","Caprella scaura Templeton, 1836",1994-01-01,1
1985,"Bay of Biscay & Iberian Coast","ABI","Caprella scaura Templeton, 1836",1985-01-01,1
2002,"Central Mediterranean Sea","MIC","Caprella scaura Templeton, 1836",2002-01-01,1
2012,"Eastern Mediterranean Sea","MAL","Caprella scaura Templeton, 1836",2012-01-01,1
2016,"Greater North Sea","ANS","Caprella scaura Templeton, 1836",2016-01-01,1
2009,"Macaronesia","AMA","Caprella scaura Templeton, 1836",2009-01-01,1
2003,"Western Mediterranean Sea","MWE","Caprella scaura Templeton, 1836",2003-01-01,1
2006,"Adriatic Sea","MAD","Chaetozone corona Berkeley & Berkeley, 1941",2006-01-01,1
1996,"Bay of Biscay & Iberian Coast","ABI","Chaetozone corona Berkeley & Berkeley, 1941",1996-01-01,1
1996,"Celtic Seas","ACS","Chaetozone corona Berkeley & Berkeley, 1941",1996-01-01,1
1982,"Central Mediterranean Sea","MIC","Chaetozone corona Berkeley & Berkeley, 1941",1982-01-01,1
1989,"Eastern Mediterranean Sea","MAL","Chaetozone corona Berkeley & Berkeley, 1941",1989-01-01,1
2012,"Western Mediterranean Sea","MWE","Chaetozone corona Berkeley & Berkeley, 1941",2012-01-01,1
1999,"Adriatic Sea","MAD","Dasysiphonia japonica (Yendo) H.-S.Kim, 2012",1999-01-01,1
1994,"Bay of Biscay & Iberian Coast","ABI","Dasysiphonia japonica (Yendo) H.-S.Kim, 2012",1994-01-01,1
1984,"Celtic Seas","ACS","Dasysiphonia japonica (Yendo) H.-S.Kim, 2012",1984-01-01,1
2014,"Central Mediterranean Sea","MIC","Dasysiphonia japonica (Yendo) H.-S.Kim, 2012",2014-01-01,1
1994,"Greater North Sea","ANS","Dasysiphonia japonica (Yendo) H.-S.Kim, 2012",1994-01-01,1
1998,"Western Mediterranean Sea","MWE","Dasysiphonia japonica (Yendo) H.-S.Kim, 2012",1998-01-01,1
1991,"Adriatic Sea","MAD","Grateloupia turuturu Yamada, 1941",1991-01-01,1
1989,"Bay of Biscay & Iberian Coast","ABI","Grateloupia turuturu Yamada, 1941",1989-01-01,1
1989,"Celtic Seas","ACS","Grateloupia turuturu Yamada, 1941",1989-01-01,1
2007,"Central Mediterranean Sea","MIC","Grateloupia turuturu Yamada, 1941",2007-01-01,1
1993,"Greater North Sea","ANS","Grateloupia turuturu Yamada, 1941",1993-01-01,1
2002,"Macaronesia","AMA","Grateloupia turuturu Yamada, 1941",2002-01-01,1
1982,"Western Mediterranean Sea","MWE","Grateloupia turuturu Yamada, 1941",1982-01-01,1
1992,"Adriatic Sea","MAD","Haloa japonica (Pilsbry, 1895)",1992-01-01,1
1992,"Bay of Biscay & Iberian Coast","ABI","Haloa japonica (Pilsbry, 1895)",1992-01-01,1
2003,"Celtic Seas","ACS","Haloa japonica (Pilsbry, 1895)",2003-01-01,1
2020,"Eastern Mediterranean Sea","MAL","Haloa japonica (Pilsbry, 1895)",2020-01-01,1
1996,"Western Mediterranean Sea","MWE","Haloa japonica (Pilsbry, 1895)",1996-01-01,1
2018,"Greater North Sea","ANS","Haloa japonica (Pilsbry, 1895)",2018-01-01,1
1999,"Adriatic Sea","MAD","Hemigrapsus sanguineus (De Haan, 1835)",1999-01-01,1
2008,"Black Sea","BLK","Hemigrapsus sanguineus (De Haan, 1835)",2008-01-01,1
1999,"Central Mediterranean Sea","MIC","Hemigrapsus sanguineus (De Haan, 1835)",1999-01-01,1
1999,"Eastern Mediterranean Sea","MAL","Hemigrapsus sanguineus (De Haan, 1835)",1999-01-01,1
1999,"Greater North Sea","ANS","Hemigrapsus sanguineus (De Haan, 1835)",1999-01-01,1
1999,"Western Mediterranean Sea","MWE","Hemigrapsus sanguineus (De Haan, 1835)",1999-01-01,1
1976,"Adriatic Sea","MAD","Hesperibalanus fallax (Broch, 1927)",1976-01-01,1
1997,"Bay of Biscay & Iberian Coast","ABI","Hesperibalanus fallax (Broch, 1927)",1997-01-01,1
1998,"Celtic Seas","ACS","Hesperibalanus fallax (Broch, 1927)",1998-01-01,1
1976,"Central Mediterranean Sea","MIC","Hesperibalanus fallax (Broch, 1927)",1976-01-01,1
1976,"Eastern Mediterranean Sea","MAL","Hesperibalanus fallax (Broch, 1927)",1976-01-01,1
1976,"Greater North Sea","ANS","Hesperibalanus fallax (Broch, 1927)",1976-01-01,1
1976,"Western Mediterranean Sea","MWE","Hesperibalanus fallax (Broch, 1927)",1976-01-01,1
2005,"Adriatic Sea","MAD","Mnemiopsis leidyi A. Agassiz, 1865",2005-01-01,1
2006,"Baltic Sea","BAL","Mnemiopsis leidyi A. Agassiz, 1865",2006-01-01,1
2005,"Bay of Biscay & Iberian Coast","ABI","Mnemiopsis leidyi A. Agassiz, 1865",2005-01-01,1
1986,"Black Sea","BLK","Mnemiopsis leidyi A. Agassiz, 1865",1986-01-01,1
